# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.00999452     1.114161e-03 -1.524024e+00 -6.071435e-05 1.126099e-03 -1.527842e+00 5.591543e-05 -1.193772e-05 3.817659e-03 -1.166298e-04
0.02           1.518458e-03 -1.500325e+00 -1.961374e-03 1.651852e-03 -1.504940e+00 -1.878676e-03 -1.333944e-04 4.614975e-03 -8.269816e-05
0.0300118      -1.134186e-03 -1.447393e+00 -2.267727e-03 -9.935767e-04 -1.452197e+00 -2.348520e-03 -1.406097e-04 4.804029e-03 8.079330e-05
0.04           -2.320644e-03 -1.435431e+00 -2.213853e-04 -2.324977e-03 -1.440628e+00 -3.856477e-04 4.332121e-06 5.197894e-03 1.642624e-04
0.050015       -1.491768e-03 -1.421423e+00 2.249013e-03 -1.635372e-03 -1.426808e+00 2.174163e-03 1.436037e-04 5.385335e-03 7.484960e-05
0.06           1.373305e-03 -1.408179e+00 2.188175e-03 1.236780e-03 -1.413533e+00 2.273126e-03 1.365249e-04 5.353659e-03 -8.495080e-05
0.0700162      2.578195e-03 -1.406269e+00 5.233012e-06 2.588234e-03 -1.411733e+00 1.652636e-04 -1.003867e-05 5.463715e-03 -1.600306e-04
0.08           1.662701e-03 -1.401331e+00 -2.514564e-03 1.805409e-03 -1.406762e+00 -2.442627e-03 -1.427081e-04 5.430870e-03 -7.193704e-05
0.0900033      -1.241924e-03 -1.395681e+00 -2.387393e-03 -1.110127e-03 -1.400916e+00 -2.474627e-03 -1.317971e-04 5.235215e-03 8.723425e-05
0.1            -2.312451e-03 -1.398533e+00 -1.780798e-04 -2.328957e-03 -1.403761e+00 -3.379484e-04 1.650661e-05 5.227392e-03 1.598686e-04
0.110023       -1.212897e-03 -1.396078e+00 2.406680e-03 -1.360584e-03 -1.401234e+00 2.340492e-03 1.476868e-04 5.156018e-03 6.618773e-05
0.12           1.824111e-03 -1.391370e+00 2.120239e-03 1.690324e-03 -1.396314e+00 2.212084e-03 1.337872e-04 4.944113e-03 -9.184465e-05
0.129986       2.913857e-03 -1.395529e+00 -4.778373e-04 2.930807e-03 -1.400460e+00 -3.142786e-04 -1.695014e-05 4.931028e-03 -1.635587e-04
0.14           1.698123e-03 -1.394092e+00 -3.168590e-03 1.844590e-03 -1.398990e+00 -3.101914e-03 -1.464664e-04 4.898862e-03 -6.667539e-05
0.150012       -1.904301e-03 -1.388827e+00 -2.858279e-03 -1.774025e-03 -1.393553e+00 -2.948294e-03 -1.302754e-04 4.725647e-03 9.001485e-05
0.16           -3.100042e-03 -1.393271e+00 1.118060e-04 -3.120088e-03 -1.398002e+00 -4.752238e-05 2.004526e-05 4.731301e-03 1.593284e-04
0.169977       -1.976210e-03 -1.392986e+00 3.228179e-03 -2.122252e-03 -1.397742e+00 3.167778e-03 1.460422e-04 4.756752e-03 6.040146e-05
