# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.83002        1.303554e-04 -2.991129e-01 -3.485230e-05 1.247854e-04 -2.983387e-01 -2.949103e-05 5.570022e-06 -7.742236e-04 -5.361272e-06
1.84           2.719389e-05 -2.981783e-01 -1.259926e-04 2.904247e-05 -2.974122e-01 -1.188225e-04 -1.848584e-06 -7.661564e-04 -7.170053e-06
1.85001        -2.536302e-05 -2.990009e-01 -8.296616e-05 -1.725355e-05 -2.982310e-01 -8.054104e-05 -8.109470e-06 -7.699004e-04 -2.425125e-06
1.86           -1.318029e-04 -2.991474e-01 3.937422e-05 -1.264360e-04 -2.983727e-01 3.380345e-05 -5.366889e-06 -7.747008e-04 5.570766e-06
1.87           -2.480816e-05 -2.981932e-01 1.327193e-04 -2.695693e-05 -2.974268e-01 1.256703e-04 2.148775e-06 -7.663668e-04 7.048977e-06
1.88           2.626592e-05 -2.989242e-01 7.772325e-05 1.815324e-05 -2.981555e-01 7.559937e-05 8.112684e-06 -7.687463e-04 2.123881e-06
1.89002        1.324370e-04 -2.991852e-01 -4.921670e-05 1.273017e-04 -2.984098e-01 -4.340831e-05 5.135331e-06 -7.754263e-04 -5.808393e-06
1.9            1.951669e-05 -2.982281e-01 -1.379348e-04 2.195889e-05 -2.974614e-01 -1.310018e-04 -2.442201e-06 -7.667016e-04 -6.932924e-06
1.91001        -2.984781e-05 -2.988504e-01 -7.443876e-05 -2.175732e-05 -2.980823e-01 -7.263548e-05 -8.090498e-06 -7.680687e-04 -1.803282e-06
1.92           -1.288249e-04 -2.991723e-01 5.414540e-05 -1.238909e-04 -2.983964e-01 4.813925e-05 -4.933923e-06 -7.758576e-04 6.006148e-06
1.93001        -1.392240e-05 -2.982447e-01 1.425164e-04 -1.663016e-05 -2.974777e-01 1.356716e-04 2.707760e-06 -7.670732e-04 6.844770e-06
1.94           3.846484e-05 -2.987627e-01 7.462985e-05 3.045070e-05 -2.979957e-01 7.314674e-05 8.014139e-06 -7.670031e-04 1.483106e-06
1.95002        1.270224e-04 -2.992043e-01 -5.571074e-05 1.222984e-04 -2.984279e-01 -4.943446e-05 4.724025e-06 -7.764123e-04 -6.276275e-06
1.96           1.103266e-06 -2.983195e-01 -1.431109e-04 4.072170e-06 -2.975517e-01 -1.363538e-04 -2.968904e-06 -7.677497e-04 -6.757104e-06
1.97001        -5.154626e-05 -2.986867e-01 -7.541031e-05 -4.353921e-05 -2.979205e-01 -7.428692e-05 -8.007046e-06 -7.661651e-04 -1.123386e-06
1.98           -1.191851e-04 -2.991634e-01 4.950468e-05 -1.146265e-04 -2.983867e-01 4.298233e-05 -4.558625e-06 -7.766469e-04 6.522355e-06
1.99001        2.383031e-06 -2.983981e-01 1.441745e-04 -8.347031e-07 -2.976297e-01 1.375383e-04 3.217734e-06 -7.683689e-04 6.636253e-06
2              6.516841e-05 -2.985963e-01 6.914731e-05 5.727018e-05 -2.978312e-01 6.839736e-05 7.898223e-06 -7.651638e-04 7.499494e-07
2.01002        1.148337e-04 -2.992066e-01 -4.250327e-05 1.104777e-04 -2.984296e-01 -3.570672e-05 4.355993e-06 -7.769767e-04 -6.796553e-06
2.02           -8.924121e-06 -2.984782e-01 -1.455487e-04 -5.446538e-06 -2.977090e-01 -1.390236e-04 -3.477583e-06 -7.691987e-04 -6.525172e-06
2.03           -7.422176e-05 -2.985271e-01 -6.281612e-05 -6.640489e-05 -2.977623e-01 -6.245761e-05 -7.816874e-06 -7.647123e-04 -3.585096e-07
2.04           -1.048106e-04 -2.991912e-01 3.257870e-05 -1.006614e-04 -2.984143e-01 2.561371e-05 -4.149235e-06 -7.769249e-04 6.964996e-06
2.05001        1.135018e-05 -2.985480e-01 1.455356e-04 7.590740e-06 -2.977782e-01 1.391017e-04 3.759436e-06 -7.698211e-04 6.433966e-06
2.06           8.328236e-05 -2.984325e-01 5.870854e-05 7.556427e-05 -2.976680e-01 5.871148e-05 7.718094e-06 -7.644985e-04 -2.942385e-09
2.07002        9.963307e-05 -2.992120e-01 -2.422590e-05 9.571191e-05 -2.984352e-01 -1.711163e-05 3.921161e-06 -7.768083e-04 -7.114267e-06
2.08           -1.726768e-05 -2.986266e-01 -1.405518e-04 -1.324420e-05 -2.978559e-01 -1.341972e-04 -4.023487e-06 -7.706816e-04 -6.354598e-06
2.09           -9.058662e-05 -2.983554e-01 -5.755652e-05 -8.292863e-05 -2.975908e-01 -5.789370e-05 -7.657995e-06 -7.646359e-04 3.371753e-07
2.1            -9.386198e-05 -2.991808e-01 1.657287e-05 -9.011579e-05 -2.984046e-01 9.317358e-06 -3.746196e-06 -7.761997e-04 7.255514e-06
2.11002        1.889316e-05 -2.987186e-01 1.315574e-04 1.459558e-05 -2.979473e-01 1.252750e-04 4.297578e-06 -7.713546e-04 6.282393e-06
2.12           9.686728e-05 -2.982698e-01 5.484215e-05 8.931429e-05 -2.975051e-01 5.548979e-05 7.552995e-06 -7.647022e-04 -6.476472e-07
2.13002        9.569744e-05 -2.991771e-01 -1.775486e-05 9.209776e-05 -2.984014e-01 -1.024902e-05 3.599680e-06 -7.756902e-04 -7.505842e-06
2.14           -2.460343e-05 -2.987655e-01 -1.276713e-04 -2.005282e-05 -2.979937e-01 -1.214833e-04 -4.550608e-06 -7.718583e-04 -6.187992e-06
2.15           -1.099856e-04 -2.982384e-01 -5.200864e-05 -1.025182e-04 -2.974733e-01 -5.295692e-05 -7.467358e-06 -7.650631e-04 9.482814e-07
2.16           -8.982837e-05 -2.991318e-01 1.629306e-05 -8.648929e-05 -2.983572e-01 8.631822e-06 -3.339086e-06 -7.745298e-04 7.661235e-06
2.17002        2.789045e-05 -2.988936e-01 1.280761e-04 2.305827e-05 -2.981209e-01 1.220594e-04 4.832182e-06 -7.727021e-04 6.016652e-06
2.18           1.192636e-04 -2.981907e-01 4.368918e-05 1.119041e-04 -2.974254e-01 4.490444e-05 7.359472e-06 -7.652442e-04 -1.215260e-06
2.19001        8.610021e-05 -2.991208e-01 -1.716053e-05 8.306127e-05 -2.983475e-01 -9.334474e-06 3.038939e-06 -7.732293e-04 -7.826052e-06
2.2            -3.268305e-05 -2.989613e-01 -1.304625e-04 -2.764134e-05 -2.981881e-01 -1.246182e-04 -5.041713e-06 -7.732106e-04 -5.844256e-06
2.21           -1.221023e-04 -2.981594e-01 -3.482747e-05 -1.148450e-04 -2.973938e-01 -3.630108e-05 -7.257252e-06 -7.656082e-04 1.473604e-06
2.22           -8.522757e-05 -2.990647e-01 2.083565e-05 -8.245938e-05 -2.982931e-01 1.291702e-05 -2.768192e-06 -7.715267e-04 7.918635e-06
2.23002        3.312860e-05 -2.990928e-01 1.291110e-04 2.783955e-05 -2.983188e-01 1.234823e-04 5.289052e-06 -7.740339e-04 5.628736e-06
2.24           1.238597e-04 -2.981777e-01 2.823877e-05 1.166597e-04 -2.974116e-01 3.000018e-05 7.199977e-06 -7.660710e-04 -1.761414e-06
2.25001        8.238891e-05 -2.990232e-01 -2.397569e-05 7.988596e-05 -2.982530e-01 -1.589664e-05 2.502942e-06 -7.702611e-04 -8.079060e-06
2.26           -3.840614e-05 -2.991316e-01 -1.324994e-04 -3.290344e-05 -2.983570e-01 -1.270680e-04 -5.502699e-06 -7.745149e-04 -5.431418e-06
2.27           -1.309251e-04 -2.981791e-01 -2.495151e-05 -1.238443e-04 -2.974128e-01 -2.700947e-05 -7.080755e-06 -7.662863e-04 2.057958e-06
2.28           -7.973211e-05 -2.989484e-01 2.590630e-05 -7.751929e-05 -2.981794e-01 1.778848e-05 -2.212815e-06 -7.690218e-04 8.117825e-06
2.29002        4.572587e-05 -2.991867e-01 1.305538e-04 3.998297e-05 -2.984114e-01 1.253520e-04 5.742905e-06 -7.752520e-04 5.201788e-06
2.3            1.356390e-04 -2.982292e-01 2.228654e-05 1.286732e-04 -2.974626e-01 2.464389e-05 6.965797e-06 -7.666144e-04 -2.357347e-06
2.31001        7.482487e-05 -2.988803e-01 -2.736488e-05 7.292256e-05 -2.981120e-01 -1.926254e-05 1.902314e-06 -7.683145e-04 -8.102346e-06
2.32           -5.346585e-05 -2.991677e-01 -1.303993e-04 -4.752422e-05 -2.983920e-01 -1.254018e-04 -5.941633e-06 -7.756919e-04 -4.997536e-06
2.33001        -1.417949e-04 -2.982307e-01 -1.496313e-05 -1.349281e-04 -2.974638e-01 -1.759075e-05 -6.866798e-06 -7.669175e-04 2.627619e-06
2.34           -7.430834e-05 -2.987887e-01 3.622745e-05 -7.272721e-05 -2.980214e-01 2.818986e-05 -1.581130e-06 -7.672987e-04 8.037596e-06
2.35002        5.501259e-05 -2.992406e-01 1.260437e-04 4.881688e-05 -2.984643e-01 1.212637e-04 6.195705e-06 -7.762930e-04 4.779945e-06
2.36           1.431303e-04 -2.983011e-01 5.735595e-06 1.363436e-04 -2.975335e-01 8.628710e-06 6.786676e-06 -7.675577e-04 -2.893114e-06
2.37001        7.679867e-05 -2.987176e-01 -4.692258e-05 7.556776e-05 -2.979512e-01 -3.890334e-05 1.230912e-06 -7.664406e-04 -8.019246e-06
2.38           -5.277922e-05 -2.991567e-01 -1.227800e-04 -4.633846e-05 -2.983801e-01 -1.181715e-04 -6.440765e-06 -7.765633e-04 -4.608473e-06
2.39001        -1.428434e-04 -2.983677e-01 2.624876e-06 -1.361704e-04 -2.975995e-01 -5.179651e-07 -6.673041e-06 -7.681487e-04 3.142841e-06
2.4            -7.262408e-05 -2.986235e-01 6.133356e-05 -7.175183e-05 -2.978581e-01 5.339645e-05 -8.722436e-07 -7.654015e-04 7.937108e-06
2.41002        4.412704e-05 -2.992062e-01 1.148981e-04 3.740020e-05 -2.984293e-01 1.104775e-04 6.726843e-06 -7.769200e-04 4.420610e-06
2.42           1.457381e-04 -2.984607e-01 -5.900116e-06 1.391804e-04 -2.976917e-01 -2.500409e-06 6.557739e-06 -7.689848e-04 -3.399708e-06
2.43           6.563542e-05 -2.985566e-01 -7.157574e-05 6.516169e-05 -2.977918e-01 -6.372429e-05 4.737309e-07 -7.648331e-04 -7.851452e-06
2.44           -3.645777e-05 -2.991860e-01 -1.078929e-04 -2.954220e-05 -2.984091e-01 -1.036792e-04 -6.915567e-06 -7.769234e-04 -4.213728e-06
2.45001        -1.452161e-04 -2.985234e-01 1.082682e-05 -1.387585e-04 -2.977538e-01 7.151710e-06 -6.457596e-06 -7.695989e-04 3.675113e-06
2.46           -6.082409e-05 -2.984607e-01 8.041204e-05 -6.072004e-05 -2.976962e-01 7.267515e-05 -1.040541e-07 -7.644972e-04 7.736883e-06
2.47002        2.570626e-05 -2.992157e-01 1.001571e-04 1.862892e-05 -2.984388e-01 9.616975e-05 7.077344e-06 -7.769223e-04 3.987392e-06
2.48           1.427003e-04 -2.986073e-01 -1.421221e-05 1.363209e-04 -2.978369e-01 -1.026810e-05 6.379402e-06 -7.704523e-04 -3.944107e-06
2.49           5.951407e-05 -2.983834e-01 -8.935668e-05 5.976049e-05 -2.976188e-01 -8.167186e-05 -2.464123e-07 -7.646086e-04 -7.684828e-06
2.5            -1.899000e-05 -2.991824e-01 -9.535268e-05 -1.178703e-05 -2.984061e-01 -9.156484e-05 -7.202966e-06 -7.763516e-04 -3.787840e-06
2.51002        -1.342214e-04 -2.986846e-01 1.906219e-05 -1.279179e-04 -2.979135e-01 1.484832e-05 -6.303506e-06 -7.711335e-04 4.213871e-06
2.52           -5.739454e-05 -2.982992e-01 9.465403e-05 -5.795302e-05 -2.975345e-01 8.707290e-05 5.584830e-07 -7.646410e-04 7.581134e-06
2.53002        1.580293e-05 -2.991878e-01 9.452802e-05 8.368902e-06 -2.984118e-01 9.087103e-05 7.434032e-06 -7.759227e-04 3.656986e-06
2.54           1.286313e-04 -2.987344e-01 -2.350694e-05 1.224068e-04 -2.979627e-01 -1.903879e-05 6.224449e-06 -7.716503e-04 -4.468153e-06
2.55           5.221076e-05 -2.982425e-01 -1.060300e-04 5.306816e-05 -2.974775e-01 -9.853287e-05 -8.574039e-07 -7.649866e-04 -7.497160e-06
