# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
4.81002        3.166954e-03 -1.392787e+00 1.224482e-03 3.137110e-03 -1.397491e+00 1.380833e-03 2.984387e-05 4.704048e-03 -1.563513e-04
4.82           2.631315e-03 -1.387365e+00 -2.337907e-03 2.746839e-03 -1.392005e+00 -2.234788e-03 -1.155237e-04 4.639863e-03 -1.031199e-04
4.83001        -6.816924e-04 -1.389277e+00 -2.987002e-03 -5.319676e-04 -1.393847e+00 -3.035195e-03 -1.497249e-04 4.570425e-03 4.819262e-05
4.84           -3.131318e-03 -1.392466e+00 -1.086265e-03 -3.107857e-03 -1.397165e+00 -1.243826e-03 -2.346051e-05 4.699357e-03 1.575604e-04
4.85001        -2.540090e-03 -1.387753e+00 2.445722e-03 -2.659649e-03 -1.392401e+00 2.347544e-03 1.195592e-04 4.647565e-03 9.817778e-05
4.86           8.175161e-04 -1.388810e+00 3.018502e-03 6.700644e-04 -1.393370e+00 3.071099e-03 1.474518e-04 4.560147e-03 -5.259699e-05
4.87002        3.071118e-03 -1.392629e+00 9.076491e-04 3.054246e-03 -1.397328e+00 1.066474e-03 1.687202e-05 4.699490e-03 -1.588246e-04
4.88           2.476599e-03 -1.388239e+00 -2.523868e-03 2.599859e-03 -1.392899e+00 -2.430458e-03 -1.232598e-04 4.659383e-03 -9.340952e-05
4.89           -9.751309e-04 -1.388453e+00 -2.998132e-03 -8.298454e-04 -1.393011e+00 -3.055340e-03 -1.452855e-04 4.557839e-03 5.720819e-05
4.9            -3.047985e-03 -1.392430e+00 -7.746305e-04 -3.036627e-03 -1.397121e+00 -9.335237e-04 -1.135859e-05 4.691006e-03 1.588931e-04
4.91001        -2.410670e-03 -1.388620e+00 2.608053e-03 -2.537687e-03 -1.393285e+00 2.519823e-03 1.270171e-04 4.665220e-03 8.822939e-05
4.92           1.107566e-03 -1.387958e+00 2.981662e-03 9.645379e-04 -1.392515e+00 3.043613e-03 1.430279e-04 4.556805e-03 -6.195137e-05
4.93002        2.973732e-03 -1.392515e+00 6.049291e-04 2.968147e-03 -1.397202e+00 7.638407e-04 5.585358e-06 4.686825e-03 -1.589116e-04
4.94           2.296543e-03 -1.389147e+00 -2.689268e-03 2.427197e-03 -1.393822e+00 -2.606120e-03 -1.306539e-04 4.675441e-03 -8.314770e-05
4.95           -1.216417e-03 -1.387524e+00 -2.950723e-03 -1.075262e-03 -1.392087e+00 -3.018518e-03 -1.411550e-04 4.562815e-03 6.779466e-05
4.96           -2.945723e-03 -1.392273e+00 -4.847457e-04 -2.945523e-03 -1.396947e+00 -6.431806e-04 -1.993304e-07 4.674070e-03 1.584350e-04
4.97002        -2.147109e-03 -1.389664e+00 2.760461e-03 -2.281756e-03 -1.394343e+00 2.682800e-03 1.346465e-04 4.679602e-03 7.766183e-05
4.98           1.327530e-03 -1.387077e+00 2.910050e-03 1.189752e-03 -1.391643e+00 2.984126e-03 1.377785e-04 4.565843e-03 -7.407565e-05
4.99002        2.935312e-03 -1.392211e+00 3.650330e-04 2.941166e-03 -1.396878e+00 5.232780e-04 -5.853922e-06 4.666802e-03 -1.582451e-04
5              2.031876e-03 -1.390023e+00 -2.837881e-03 2.170025e-03 -1.394704e+00 -2.764900e-03 -1.381488e-04 4.680568e-03 -7.298153e-05
