# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.630055      	6.053320e-06	2.570296e-06	3.483025e-06	6.136469e-03	3.068093e-03	3.068376e-03	-1.417393e-07	-4.563646e-07	9.283926e-04	1.793130e-06	9.292891e-04	-9.274960e-04
0.63011       	6.282228e-06	2.612729e-06	3.669500e-06	5.839441e-03	2.919684e-03	2.919757e-03	-3.622713e-08	-5.283855e-07	8.711544e-04	1.293913e-06	8.718013e-04	-8.705074e-04
0.630164      	6.559016e-06	2.706171e-06	3.852844e-06	5.722158e-03	2.861067e-03	2.861091e-03	-1.203411e-08	-5.733364e-07	8.474216e-04	1.141391e-06	8.479923e-04	-8.468509e-04
0.630218      	6.499703e-06	2.682427e-06	3.817276e-06	5.657598e-03	2.828792e-03	2.828805e-03	-6.532177e-09	-5.674243e-07	8.337158e-04	1.120193e-06	8.342759e-04	-8.331557e-04
0.630272      	6.445503e-06	2.663639e-06	3.781864e-06	5.620564e-03	2.810266e-03	2.810298e-03	-1.633569e-08	-5.591125e-07	8.257645e-04	1.254646e-06	8.263918e-04	-8.251371e-04
0.630326      	6.384907e-06	2.636160e-06	3.748747e-06	5.592262e-03	2.796120e-03	2.796141e-03	-1.042024e-08	-5.562938e-07	8.196650e-04	1.231402e-06	8.202807e-04	-8.190493e-04
0.63038       	6.374757e-06	2.631388e-06	3.743369e-06	5.572924e-03	2.786451e-03	2.786473e-03	-1.083991e-08	-5.559909e-07	8.154642e-04	1.263554e-06	8.160960e-04	-8.148325e-04
0.630434      	6.322523e-06	2.605490e-06	3.717033e-06	5.559006e-03	2.779496e-03	2.779510e-03	-6.976663e-09	-5.557715e-07	8.124262e-04	1.231270e-06	8.130418e-04	-8.118105e-04
0.630488      	6.351546e-06	2.617491e-06	3.734055e-06	5.552327e-03	2.776156e-03	2.776171e-03	-7.369357e-09	-5.582817e-07	8.109351e-04	1.246697e-06	8.115584e-04	-8.103117e-04
0.630542      	6.333617e-06	2.608712e-06	3.724905e-06	5.542738e-03	2.771361e-03	2.771377e-03	-7.853891e-09	-5.580963e-07	8.088792e-04	1.263920e-06	8.095112e-04	-8.082472e-04
