# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.630001      	5.194761e-05	2.773890e-05	2.420870e-05	1.119437e-02	5.585278e-03	5.609088e-03	-1.190496e-05	1.765101e-06	3.861519e-03	6.814053e-05	3.895589e-03	-3.827448e-03
0.630002      	1.822607e-04	7.832858e-05	1.039322e-04	1.169012e-01	5.844634e-02	5.845488e-02	-4.266864e-06	-1.280179e-05	2.135701e-02	1.817234e-05	2.136610e-02	-2.134793e-02
0.630003      	3.706252e-05	1.647739e-05	2.058513e-05	1.572682e-02	7.860611e-03	7.866212e-03	-2.800874e-06	-2.053872e-06	3.774940e-03	9.604798e-06	3.779743e-03	-3.770138e-03
0.630004      	7.123302e-05	3.031682e-05	4.091620e-05	3.087385e-02	1.543467e-02	1.543918e-02	-2.255626e-06	-5.299693e-06	6.085527e-03	1.259819e-05	6.091826e-03	-6.079228e-03
0.630005      	5.633344e-05	2.387783e-05	3.245561e-05	2.094009e-02	1.046910e-02	1.047099e-02	-9.434025e-07	-4.288888e-06	4.216422e-03	-5.493750e-07	4.216147e-03	-4.216696e-03
0.630006      	6.017878e-05	2.533591e-05	3.484286e-05	1.929654e-02	9.647362e-03	9.649174e-03	-9.062047e-07	-4.753475e-06	3.798509e-03	2.824384e-06	3.799921e-03	-3.797097e-03
0.630007      	5.889748e-05	2.478975e-05	3.410773e-05	1.671552e-02	8.357243e-03	8.358277e-03	-5.173708e-07	-4.658987e-06	3.256762e-03	-3.120546e-07	3.256606e-03	-3.256918e-03
0.630008      	5.578437e-05	2.349437e-05	3.229000e-05	1.510709e-02	7.553230e-03	7.553859e-03	-3.143266e-07	-4.397814e-06	2.900344e-03	-1.822478e-06	2.899433e-03	-2.901256e-03
0.630009      	5.377701e-05	2.268572e-05	3.109128e-05	1.374719e-02	6.873327e-03	6.873866e-03	-2.692221e-07	-4.202779e-06	2.602708e-03	-1.323299e-06	2.602046e-03	-2.603370e-03
0.63001       	4.954448e-05	2.091763e-05	2.862685e-05	1.268060e-02	6.340046e-03	6.340552e-03	-2.531297e-07	-3.854611e-06	2.367091e-03	-3.943143e-07	2.366894e-03	-2.367288e-03
