# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.000000e+00
# lRef        : 4.360000e-01
# Aref        : 1.490000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.00999452    	3.762877e-04	2.455572e-04	1.307305e-04	-2.050518e-05	-2.409288e-01	2.409083e-01	-2.409185e-01	5.741335e-05	-8.974060e-06	-5.147118e-01	-2.573649e-01	-2.573469e-01
0.02          	5.128318e-04	1.882382e-04	3.245936e-04	-6.624186e-04	-2.427688e-01	2.421064e-01	-2.424376e-01	-6.817773e-05	-1.512824e-05	-5.067077e-01	-2.533690e-01	-2.533387e-01
0.0300118     	-3.830510e-04	-2.296864e-04	-1.533646e-04	-7.658839e-04	-2.362416e-01	2.354757e-01	-2.358586e-01	-3.816087e-05	3.600330e-05	-4.888309e-01	-2.443795e-01	-2.444515e-01
0.04          	-7.837558e-04	-3.981280e-04	-3.856278e-04	-7.476888e-05	-2.355151e-01	2.354404e-01	-2.354778e-01	-6.250062e-06	5.467793e-05	-4.847908e-01	-2.423407e-01	-2.424501e-01
0.050015      	-5.038178e-04	-1.881128e-04	-3.157050e-04	7.595635e-04	-2.340348e-01	2.347944e-01	-2.344146e-01	6.379611e-05	8.933022e-06	-4.800598e-01	-2.400210e-01	-2.400388e-01
0.06          	4.638091e-04	2.720021e-04	1.918069e-04	7.390166e-04	-2.328977e-01	2.336367e-01	-2.332672e-01	4.009761e-05	-3.454994e-05	-4.755871e-01	-2.378281e-01	-2.377590e-01
0.0700162     	8.707389e-04	4.360539e-04	4.346849e-04	1.767355e-06	-2.332875e-01	2.332892e-01	-2.332884e-01	6.845160e-07	-5.170908e-05	-4.749420e-01	-2.375227e-01	-2.374193e-01
0.08          	5.615471e-04	2.042489e-04	3.572982e-04	-8.492486e-04	-2.331669e-01	2.323177e-01	-2.327423e-01	-7.652467e-05	1.307370e-07	-4.732742e-01	-2.366370e-01	-2.366373e-01
0.0900033     	-4.194373e-04	-2.609720e-04	-1.584653e-04	-8.062988e-04	-2.325427e-01	2.317364e-01	-2.321396e-01	-5.125331e-05	4.959808e-05	-4.713660e-01	-2.356334e-01	-2.357326e-01
0.1           	-7.809885e-04	-4.085877e-04	-3.724008e-04	-6.014324e-05	-2.325858e-01	2.325256e-01	-2.325557e-01	-1.809342e-05	6.490176e-05	-4.723294e-01	-2.360998e-01	-2.362296e-01
