# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1.20005e-06   	2.684430e-02	1.194598e-02	1.489832e-02	1.816823e+01	9.084264e+00	9.083964e+00	1.500005e-04	-1.476172e-03	1.601887e+00	4.448550e-03	1.604111e+00	-1.599663e+00
2.64017e-06   	-8.264259e-03	-3.684984e-03	-4.579275e-03	-4.193094e+00	-2.096434e+00	-2.096660e+00	1.128195e-04	4.471458e-04	-3.444627e-01	-5.131266e-03	-3.470283e-01	3.418970e-01
4.36833e-06   	2.199096e-03	9.697640e-04	1.229332e-03	1.176473e+00	5.881959e-01	5.882768e-01	-4.044826e-05	-1.297842e-04	1.051975e-01	1.561558e-03	1.059782e-01	-1.044167e-01
6.44211e-06   	-3.803879e-04	-1.651928e-04	-2.151951e-04	-2.128765e-01	-1.064212e-01	-1.064553e-01	1.706934e-05	2.500118e-05	-1.397027e-02	-6.361234e-04	-1.428833e-02	1.365221e-02
8.93055e-06   	2.123377e-04	9.063626e-05	1.217014e-04	1.068518e-01	5.342261e-02	5.342917e-02	-3.281264e-06	-1.553258e-05	1.140613e-02	9.660930e-05	1.145443e-02	-1.135782e-02
1.19165e-05   	6.241548e-05	2.741192e-05	3.500356e-05	1.234187e-02	6.172149e-03	6.169721e-03	1.214394e-06	-3.795822e-06	2.841655e-03	-5.353732e-05	2.814887e-03	-2.868424e-03
1.5499e-05    	8.194025e-05	3.573648e-05	4.620378e-05	2.855265e-02	1.427586e-02	1.427679e-02	-4.663894e-07	-5.233648e-06	3.779578e-03	2.994812e-06	3.781076e-03	-3.778081e-03
1.97972e-05   	5.662485e-05	2.486576e-05	3.175909e-05	2.019598e-02	1.009809e-02	1.009789e-02	9.808715e-08	-3.446663e-06	2.844054e-03	-5.605572e-06	2.841251e-03	-2.846857e-03
2.49549e-05   	5.836901e-05	2.566170e-05	3.270731e-05	1.987441e-02	9.937112e-03	9.937298e-03	-9.274768e-08	-3.522807e-06	2.665370e-03	8.459443e-06	2.669600e-03	-2.661141e-03
3.11429e-05   	5.413236e-05	2.396075e-05	3.017161e-05	1.858599e-02	9.293062e-03	9.292926e-03	6.792160e-08	-3.105429e-06	2.463623e-03	8.954128e-06	2.468100e-03	-2.459146e-03
