# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.000000e+00
# lRef        : 4.360000e-01
# Aref        : 1.490000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
4.81002       	1.069582e-03	4.923411e-04	5.772404e-04	4.135467e-04	-2.315700e-01	2.319835e-01	-2.317768e-01	-4.244965e-05	-9.674188e-05	-4.703888e-01	-2.352911e-01	-2.350977e-01
4.82          	8.886791e-04	3.330904e-04	5.555887e-04	-7.895861e-04	-2.314748e-01	2.306852e-01	-2.310800e-01	-1.112491e-04	-2.717303e-06	-4.685576e-01	-2.342815e-01	-2.342761e-01
4.83001       	-2.302293e-04	-1.741101e-04	-5.611921e-05	-1.008806e-03	-2.318820e-01	2.308732e-01	-2.313776e-01	-5.899545e-05	3.838126e-05	-4.692031e-01	-2.345632e-01	-2.346399e-01
4.84          	-1.057546e-03	-4.899928e-04	-5.675533e-04	-3.668664e-04	-2.319162e-01	2.315493e-01	-2.317327e-01	3.878027e-05	9.390960e-05	-4.702802e-01	-2.350462e-01	-2.352340e-01
4.85001       	-8.578695e-04	-3.183161e-04	-5.395534e-04	8.259983e-04	-2.307208e-01	2.315468e-01	-2.311338e-01	1.106186e-04	-2.761358e-06	-4.686886e-01	-2.343471e-01	-2.343416e-01
4.86          	2.761013e-04	1.930844e-04	8.301689e-05	1.019445e-03	-2.307964e-01	2.318158e-01	-2.313061e-01	5.503377e-05	-4.947416e-05	-4.690454e-01	-2.345722e-01	-2.344732e-01
4.87002       	1.037215e-03	4.860875e-04	5.511272e-04	3.065421e-04	-2.316189e-01	2.319254e-01	-2.317721e-01	-3.251984e-05	-8.780946e-05	-4.703352e-01	-2.352554e-01	-2.350798e-01
4.88          	8.364266e-04	3.050775e-04	5.313491e-04	-8.523908e-04	-2.316296e-01	2.307773e-01	-2.312035e-01	-1.131358e-04	5.412480e-06	-4.688528e-01	-2.344210e-01	-2.344318e-01
4.89          	-3.293329e-04	-2.145887e-04	-1.147442e-04	-1.012565e-03	-2.317598e-01	2.307472e-01	-2.312535e-01	-4.992225e-05	5.658678e-05	-4.689249e-01	-2.344059e-01	-2.345191e-01
4.9           	-1.029402e-03	-4.864199e-04	-5.429821e-04	-2.616175e-04	-2.318847e-01	2.316231e-01	-2.317539e-01	2.828111e-05	8.294005e-05	-4.702682e-01	-2.350511e-01	-2.352170e-01
4.91001       	-8.141603e-04	-2.946128e-04	-5.195475e-04	8.808227e-04	-2.308108e-01	2.316917e-01	-2.312512e-01	1.124673e-04	-9.278612e-06	-4.689814e-01	-2.345000e-01	-2.344814e-01
4.92          	3.740603e-04	2.335252e-04	1.405351e-04	1.007002e-03	-2.306754e-01	2.316824e-01	-2.311789e-01	4.649503e-05	-6.388569e-05	-4.687577e-01	-2.344427e-01	-2.343150e-01
4.93002       	1.004324e-03	4.837537e-04	5.205707e-04	2.043039e-04	-2.316746e-01	2.318789e-01	-2.317767e-01	-1.840851e-05	-7.648987e-05	-4.702967e-01	-2.352248e-01	-2.350719e-01
4.94          	7.756161e-04	2.785543e-04	4.970618e-04	-9.082518e-04	-2.317722e-01	2.308639e-01	-2.313180e-01	-1.092537e-04	1.207795e-05	-4.691592e-01	-2.345675e-01	-2.345917e-01
4.95          	-4.108230e-04	-2.511013e-04	-1.597218e-04	-9.965536e-04	-2.316184e-01	2.306218e-01	-2.311201e-01	-4.568976e-05	6.985163e-05	-4.686113e-01	-2.342358e-01	-2.343755e-01
4.96          	-9.948647e-04	-4.833440e-04	-5.115207e-04	-1.637141e-04	-2.318300e-01	2.316663e-01	-2.317481e-01	1.408833e-05	7.364126e-05	-4.702149e-01	-2.350338e-01	-2.351811e-01
4.97002       	-7.251474e-04	-2.598297e-04	-4.653177e-04	9.322960e-04	-2.309149e-01	2.318472e-01	-2.313810e-01	1.027440e-04	-1.499889e-05	-4.693338e-01	-2.346819e-01	-2.346519e-01
4.98          	4.483494e-04	2.680039e-04	1.803456e-04	9.828169e-04	-2.305623e-01	2.315451e-01	-2.310537e-01	4.382916e-05	-7.480060e-05	-4.684603e-01	-2.343050e-01	-2.341554e-01
4.99002       	9.913487e-04	4.832716e-04	5.080771e-04	1.232833e-04	-2.316898e-01	2.318131e-01	-2.317515e-01	-1.240272e-05	-7.319899e-05	-4.701940e-01	-2.351702e-01	-2.350238e-01
5             	6.862296e-04	2.434822e-04	4.427474e-04	-9.584432e-04	-2.318966e-01	2.309381e-01	-2.314173e-01	-9.963260e-05	1.956156e-05	-4.694552e-01	-2.347081e-01	-2.347472e-01
